number_of_monitoring_stations,hour,dayofweek,month,is_weekend,aqi_roll_mean_3,aqi_roll_std_3,aqi_roll_mean_24,aqi_roll_std_24,aqi_lag_1,aqi_lag_24,stations_lag_1,stations_lag_24
1.9411764705882353,0,6,8,1,63.48566542841524,0.2111671507860567,61.26841034532725,1.4931772427924257,63.48566542841523,58.62882096069869,1.940170391300625,1.9170305676855894
1.941689466484268,1,6,8,1,63.57412963974756,0.1096681780396323,61.46423962866779,1.468840288224443,63.69683257918552,58.839988111468976,1.9411764705882353,1.9180366469731998
1.942202462380301,2,6,8,1,63.53989091164194,0.15694166756489014,61.64473104457858,1.4249169315647756,63.53989091164193,59.051155262239256,1.941689466484268,1.9190427262608099
1.9427154582763337,3,6,8,1,63.38294924409835,0.15694166756466188,61.80988459305963,1.3652341403863517,63.382949244098356,59.26232241300954,1.942202462380301,1.9200488055484202
1.9432284541723666,4,6,8,1,63.22600757655477,0.15694166756443362,61.959700274110936,1.293075203274208,63.22600757655477,59.47348956377983,1.9427154582763337,1.9210548848360305
1.9437414500683994,5,6,8,1,63.06906590901119,0.15694166756420092,62.0941780877325,1.2114358263173464,63.06906590901119,59.684656714550115,1.9432284541723666,1.9220609641236406
1.9442544459644322,6,6,8,1,62.91212424146761,0.15694166756396022,62.21331803392432,1.123228408194701,62.9121242414676,59.895823865320395,1.9437414500683994,1.923067043411251
1.944767441860465,7,6,8,1,62.755182573924024,0.15694166756372574,62.31712011268639,1.0314768328615598,62.755182573924024,60.10699101609068,1.9442544459644322,1.9240731226988612
1.9452804377564978,8,6,8,1,62.59824090638043,0.15694166756349748,62.405584324018726,0.9395297644086407,62.59824090638044,60.31815816686097,1.944767441860465,1.9250792019864713
1.9457934336525307,9,6,8,1,62.441299238836855,0.15694166756325678,62.47871066792131,0.8513028652602617,62.441299238836855,60.52932531763125,1.9452804377564978,1.9260852812740816
1.9463064295485635,10,6,8,1,62.28435757129328,0.1569416675630223,62.53649914439415,0.7715128667834541,62.28435757129328,60.740492468401534,1.9457934336525307,1.927091360561692
1.9468194254445963,11,6,8,1,62.12741590374969,0.15694166756279404,62.578949753437236,0.705745272376226,62.12741590374969,60.95165961917182,1.9463064295485635,1.928097439849302
1.9473324213406293,12,6,8,1,61.97047423620611,0.1569416675625578,62.606062495050594,0.659992546145318,61.97047423620611,61.16282676994211,1.9468194254445963,1.9291035191369124
1.9478454172366622,13,6,8,1,61.81353256866253,0.15694166756232333,62.6178373692342,0.6392505630465237,61.813532568662524,61.37399392071239,1.9473324213406293,1.9301095984245227
1.948358413132695,14,6,8,1,61.65659090111894,0.15694166756209507,62.61427437598807,0.6454647529143962,61.656590901118946,61.58516107148267,1.9478454172366622,1.9311156777121328
1.9488714090287278,15,6,8,1,61.49964923357536,0.1569416675618668,62.59537351531218,0.6763598735883782,61.49964923357536,61.79632822225296,1.948358413132695,1.932121756999743
1.9493844049247606,16,6,8,1,61.34270756603178,0.15694166756163233,62.561134787206555,0.7263637715714356,61.34270756603178,62.00749537302324,1.9488714090287278,1.9331278362873534
1.9498974008207934,17,6,8,1,61.1857658984882,0.15694166756140407,62.511558191671185,0.788686299482787,61.1857658984882,62.218662523793526,1.9493844049247606,1.9341339155749635
1.9504103967168263,18,6,8,1,61.02882423094462,0.1569416675611758,62.44664372870606,0.8568730597529648,61.028824230944615,62.42982967456381,1.9498974008207934,1.9351399948625738
1.950923392612859,19,6,8,1,60.87188256340104,0.15694166756094133,62.36639139831121,0.9253383454178967,60.87188256340103,62.6409968253341,1.9504103967168263,1.9361460741501841
1.951436388508892,20,6,8,1,60.714940895857445,0.15694166756071307,62.2708012004866,0.9892637097666042,60.71494089585745,62.85216397610438,1.950923392612859,1.9371521534377942
1.9519493844049247,21,6,8,1,60.55799922831387,0.1569416675604848,62.15987313523225,1.0442658863023857,60.55799922831387,63.063331126874665,1.951436388508892,1.9381582327254046
1.9524623803009575,22,6,8,1,60.40105756077028,0.1569416675602521,62.03360720254816,1.0860058670236628,60.40105756077028,63.27449827764495,1.9519493844049247,1.9391643120130149
1.9529753761969904,23,6,8,1,60.244115893226706,0.1569416675600114,61.89200340243431,1.1097451737847803,60.2441158932267,63.48566542841523,1.9524623803009575,1.940170391300625
1.9534883720930232,0,0,8,0,60.08717422568312,0.15694166755977695,61.735061734890735,1.1097451737848483,60.08717422568312,63.69683257918552,1.9529753761969904,1.9411764705882353
1.9546618305952634,1,0,8,0,59.941275378406715,0.1407028172190999,61.57950041988055,1.1074208070161777,59.93023255813954,63.53989091164193,1.9534883720930232,1.941689466484268
1.9558352890975037,2,0,8,0,59.80641935139749,0.12381320676205669,61.425319457403766,1.1030002005780595,59.80641935139749,63.382949244098356,1.9546618305952634,1.942202462380301
1.957008747599744,3,0,8,0,59.68260614465544,0.12381320676182221,61.27251884746037,1.0966967812256359,59.68260614465543,63.22600757655477,1.9558352890975037,1.9427154582763337
1.9581822061019842,4,0,8,0,59.55879293791338,0.12381320676158329,61.12109859005037,1.0887128915234598,59.55879293791338,63.06906590901119,1.957008747599744,1.9432284541723666
1.9593556646042245,5,0,8,0,59.434979731171325,0.1238132067613426,60.97105868517378,1.079242816871862,59.434979731171325,62.9121242414676,1.9581822061019842,1.9437414500683994
1.9605291231064648,6,0,8,0,59.31116652442927,0.12381320676110368,60.82239913283058,1.0684753708423478,59.311166524429275,62.755182573924024,1.9593556646042245,1.9442544459644322
1.9617025816087048,7,0,8,0,59.18735331768722,0.12381320676086298,60.675119933020774,1.0565961419596281,59.18735331768722,62.59824090638044,1.9605291231064648,1.944767441860465
1.962876040110945,8,0,8,0,59.06354011094516,0.12381320676062406,60.52922108574436,1.0437894719970333,59.06354011094517,62.441299238836855,1.9617025816087048,1.9452804377564978
1.9640494986131853,9,0,8,0,58.93972690420312,0.12381320676038336,60.384702591001364,1.0302402096153391,58.93972690420311,62.28435757129328,1.962876040110945,1.9457934336525307
1.9652229571154256,10,0,8,0,58.81591369746106,0.12381320676014444,60.24156444879174,1.016135260852903,58.81591369746106,62.12741590374969,1.9640494986131853,1.9463064295485635
1.9663964156176659,11,0,8,0,58.692100490719014,0.12381320675990375,60.099806659115536,1.00166493761921,58.69210049071901,61.97047423620611,1.9652229571154256,1.9468194254445963
1.9675698741199061,12,0,8,0,58.56828728397696,0.12381320675966483,59.95942922197272,0.9870240857344016,58.56828728397696,61.813532568662524,1.9663964156176659,1.9473324213406293
1.9687433326221464,13,0,8,0,58.4444740772349,0.12381320675942413,59.8204321373633,0.972412954633331,58.4444740772349,61.656590901118946,1.9675698741199061,1.9478454172366622
1.9699167911243867,14,0,8,0,58.32066087049285,0.12381320675918342,59.68281540528727,0.9580377517705364,58.32066087049285,61.49964923357536,1.9687433326221464,1.948358413132695
1.971090249626627,15,0,8,0,58.196847663750795,0.12381320675894894,59.54657902574464,0.9441108070395671,58.1968476637508,61.34270756603178,1.9699167911243867,1.9488714090287278
1.9722637081288672,16,0,8,0,58.07303445700875,0.12381320675870824,59.41172299873542,0.9308502582117358,58.073034457008745,61.1857658984882,1.971090249626627,1.9493844049247606
1.9734371666311075,17,0,8,0,57.949221250266696,0.12381320675846932,59.27824732425958,0.9184791607199935,57.949221250266696,61.028824230944615,1.9722637081288672,1.9498974008207934
1.9746106251333475,18,0,8,0,57.82540804352465,0.12381320675822863,59.14615200231716,0.9072239283638823,57.82540804352464,60.87188256340103,1.9734371666311075,1.9504103967168263
1.9757840836355878,19,0,8,0,57.70159483678259,0.12381320675798971,59.0154370329081,0.8973120306295461,57.70159483678259,60.71494089585745,1.9746106251333475,1.950923392612859
1.976957542137828,20,0,8,0,57.57778163004053,0.12381320675774901,58.88610241603248,0.8889689118728014,57.57778163004053,60.55799922831387,1.9757840836355878,1.951436388508892
